INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.646930694580078	Top1 accuracy: 0.78125
DEBUG:root:Epoch: 1	Loss: 5.9885711669921875	Top1 accuracy: 0.5859375
DEBUG:root:Epoch: 2	Loss: 5.6723175048828125	Top1 accuracy: 0.5859375
DEBUG:root:Epoch: 3	Loss: 5.572109222412109	Top1 accuracy: 2.9296875
DEBUG:root:Epoch: 4	Loss: 5.532291412353516	Top1 accuracy: 5.078125
DEBUG:root:Epoch: 5	Loss: 5.376789093017578	Top1 accuracy: 6.8359375
DEBUG:root:Epoch: 6	Loss: 4.983835220336914	Top1 accuracy: 10.3515625
DEBUG:root:Epoch: 7	Loss: 4.759302139282227	Top1 accuracy: 15.234375
DEBUG:root:Epoch: 8	Loss: 4.885018348693848	Top1 accuracy: 14.0625
DEBUG:root:Epoch: 9	Loss: 4.7741804122924805	Top1 accuracy: 17.7734375
DEBUG:root:Epoch: 10	Loss: 4.60944938659668	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 11	Loss: 4.574810028076172	Top1 accuracy: 20.8984375
DEBUG:root:Epoch: 12	Loss: 4.344223499298096	Top1 accuracy: 21.875
DEBUG:root:Epoch: 13	Loss: 3.8574018478393555	Top1 accuracy: 21.09375
DEBUG:root:Epoch: 14	Loss: 4.241005897521973	Top1 accuracy: 25.9765625
DEBUG:root:Epoch: 15	Loss: 4.1945414543151855	Top1 accuracy: 25.390625
DEBUG:root:Epoch: 16	Loss: 3.936633825302124	Top1 accuracy: 28.125
DEBUG:root:Epoch: 17	Loss: 3.998778820037842	Top1 accuracy: 25.390625
DEBUG:root:Epoch: 18	Loss: 4.004439353942871	Top1 accuracy: 29.1015625
DEBUG:root:Epoch: 19	Loss: 3.987820863723755	Top1 accuracy: 30.46875
DEBUG:root:Epoch: 20	Loss: 3.7139909267425537	Top1 accuracy: 29.6875
DEBUG:root:Epoch: 21	Loss: 3.796064615249634	Top1 accuracy: 26.953125
DEBUG:root:Epoch: 22	Loss: 3.9067959785461426	Top1 accuracy: 31.0546875
DEBUG:root:Epoch: 23	Loss: 3.811842203140259	Top1 accuracy: 27.9296875
DEBUG:root:Epoch: 24	Loss: 3.5582897663116455	Top1 accuracy: 36.9140625
DEBUG:root:Epoch: 25	Loss: 3.568228244781494	Top1 accuracy: 35.546875
DEBUG:root:Epoch: 26	Loss: 3.4323441982269287	Top1 accuracy: 33.0078125
DEBUG:root:Epoch: 27	Loss: 3.5723330974578857	Top1 accuracy: 39.6484375
DEBUG:root:Epoch: 28	Loss: 3.2857882976531982	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 29	Loss: 3.5712926387786865	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 30	Loss: 3.2073915004730225	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 31	Loss: 3.1371190547943115	Top1 accuracy: 35.15625
DEBUG:root:Epoch: 32	Loss: 3.300412893295288	Top1 accuracy: 41.2109375
DEBUG:root:Epoch: 33	Loss: 3.056277275085449	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 34	Loss: 3.13822078704834	Top1 accuracy: 32.6171875
DEBUG:root:Epoch: 35	Loss: 3.2797303199768066	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 36	Loss: 3.1514320373535156	Top1 accuracy: 38.671875
DEBUG:root:Epoch: 37	Loss: 3.3484082221984863	Top1 accuracy: 40.625
DEBUG:root:Epoch: 38	Loss: 3.357797861099243	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 39	Loss: 3.401855945587158	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 40	Loss: 2.7190804481506348	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 41	Loss: 2.9902665615081787	Top1 accuracy: 49.0234375
DEBUG:root:Epoch: 42	Loss: 3.0879955291748047	Top1 accuracy: 44.7265625
DEBUG:root:Epoch: 43	Loss: 3.320791244506836	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 44	Loss: 3.0956664085388184	Top1 accuracy: 46.09375
DEBUG:root:Epoch: 45	Loss: 2.575214385986328	Top1 accuracy: 41.9921875
DEBUG:root:Epoch: 46	Loss: 3.0838730335235596	Top1 accuracy: 43.75
DEBUG:root:Epoch: 47	Loss: 3.0255682468414307	Top1 accuracy: 41.015625
DEBUG:root:Epoch: 48	Loss: 2.799466609954834	Top1 accuracy: 46.875
DEBUG:root:Epoch: 49	Loss: 2.9239203929901123	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 50	Loss: 2.9826059341430664	Top1 accuracy: 49.21875
DEBUG:root:Epoch: 51	Loss: 3.1077497005462646	Top1 accuracy: 47.65625
DEBUG:root:Epoch: 52	Loss: 2.9420571327209473	Top1 accuracy: 49.21875
DEBUG:root:Epoch: 53	Loss: 2.578627586364746	Top1 accuracy: 50.9765625
DEBUG:root:Epoch: 54	Loss: 2.811309337615967	Top1 accuracy: 45.3125
DEBUG:root:Epoch: 55	Loss: 3.048252820968628	Top1 accuracy: 50.0
